BGF_1000m2,e2_upper_m2,e2_lower_m2
0.5,88.992042,77.29443
1.0,118.514589,102.917772
1.5,151.37931,131.883289
2.0,182.015915,158.06366
2.5,210.424403,182.572944
3.0,237.718833,206.525199
3.5,262.228117,228.249337
4.0,285.623342,247.745358
4.5,306.233422,266.68435
5.0,325.729443,283.395225
5.5,344.111406,298.992042
6.0,361.37931,314.588859
6.5,376.976127,328.514589
7.0,390.901857,340.212202
7.5,403.713528,351.352785
8.0,414.854111,361.37931
8.5,425.437666,370.291777
9.0,434.907162,378.647215
9.5,444.376658,385.888594
10.0,449.94695,391.458886
