BGF_1000m2,HSE_ohne_RLT_upper_m2,HSE_ohne_RLT_lower_m2,TBA_KD_upper_m2,TBA_KD_lower_m2
3.0,70.88394062,62.14991155,40.23552345,31.67031528
4.0,78.65075349,68.19509365,41.91707622,36.45762348
5.0,87.09233018,75.76944685,48.33295653,41.90960965
6.0,94.85914305,82.18451767,54.86039836,47.39849664
7.0,102.44320738,88.63648933,60.60908399,52.44354872
8.0,109.53174202,95.01465868,66.80015387,57.59938991
9.0,116.47267206,101.35592721,72.43883817,62.79213193
10.0,123.22733918,107.03008515,77.96719514,67.39403622
11.0,129.9820063,112.92593359,83.23637016,71.73725854
12.0,135.86158907,117.98488225,87.87680981,75.89554731
13.0,141.8149735,122.96976359,92.66485406,80.45936875
14.0,147.32848754,127.8068841,97.34257097,84.10035469
15.0,152.65849288,132.82906045,102.1318494,88.25576042
16.0,158.06323943,137.22299072,106.43967316,92.373145
17.0,163.19623412,141.58002016,110.41316875,96.1582666
18.0,167.55965425,145.30880353,114.57172018,99.90536704
19.0,172.0346359,149.37047987,118.47108965,102.80486712
20.0,176.03764168,152.91379229,122.25917,106.18458806
21.0,180.07754829,156.49400555,126.04725036,109.19396519
22.0,183.75698572,159.51969389,129.3179668,112.20334231
23.0,187.90072409,162.87848062,132.86569311,115.54581325
24.0,191.00795634,165.86692353,136.24732514,118.6284568
25.0,194.33730163,168.92916875,139.59205635,121.37784246
26.0,197.66664692,171.95451315,142.9009164,124.27598004
27.0,201.40350877,174.75797922,146.13597415,127.0253657
28.0,204.40015916,177.41384068,149.11234994,130.18226792
29.0,207.39680956,179.88491861,152.56832865,132.48700827
30.0,210.54106457,182.50403116,155.65630163,135.3124034
31.0,213.16695568,185.23347104,158.96596512,138.43327716
32.0,216.16390252,187.59370654,162.0539981,141.18466608
33.0,218.93790438,189.95394204,165.36366159,143.7518443
34.0,221.37878012,192.31417754,168.45169456,146.54032931
35.0,223.96726047,194.6375122,171.79891038,149.18096258
36.0,226.37021295,196.99774769,174.88694335,151.96944759
37.0,228.95869331,199.13610485,178.45519719,154.97923939
38.0,231.36254797,201.53364445,181.80282024,157.98865042
39.0,233.76526261,203.78232434,185.40913337,160.62819665
40.0,236.50092364,205.80912591,189.01430649,163.97293339
41.0,239.49576663,208.28089525,192.84134093,167.05848816
42.0,242.30582608,210.49348264,196.63033419,170.10614209
43.0,244.89351431,212.63177484,199.97435968,173.15265599
44.0,247.66672772,215.28729124,203.98420307,176.49464851
45.0,250.44043401,217.61054465,207.55021155,179.90949086
46.0,253.43583162,219.93379806,211.63344424,183.61981182
47.0,256.13461044,222.70087928,215.93798744,187.32937276
48.0,259.51969389,225.39366533,220.24253063,191.0389337
49.0,262.75591762,227.82726942,224.54707382,194.97036411
50.0,266.21383185,230.81539946,230.8144417,198.71720386
51.0,269.30090887,233.21269178,233.21269178,202.12622707
