BGF_1000m2,V3_upper_m2,V3_lower_m2
3.0,217.5962815405046,190.10624169986727
4.0,242.15914121292607,211.61465250110675
5.0,280.33975210270034,242.41367861885792
6.0,315.52954847277556,274.29448871181944
7.0,347.6648959716689,301.84816290393985
8.0,378.59119079238604,328.19278441788396
9.0,407.7357237715804,354.28286852589645
10.0,435.3530323151837,379.9275121735281
11.0,466.024789729969,404.4267374944666
12.0,495.16932270916334,427.39873837981406
13.0,519.7321823815848,449.47985834440016
14.0,543.5950641876937,471.8155157149181
15.0,568.0942895086321,493.26029216467464
16.0,592.5935148295706,513.1778441788401
17.0,615.5655157149181,533.7317397078353
18.0,636.0557768924302,553.0129482071713
19.0,656.9278441788402,571.4032757857459
20.0,676.8453961930057,588.2663789287295
21.0,696.7629482071713,603.98406374502
22.0,715.1532757857459,620.4653607791058
23.0,733.5436033643205,638.8556883576804
24.0,751.9339309428951,654.1915670650731
25.0,770.3242585214697,669.6547144754317
26.0,785.6601372288624,683.3361000442674
27.0,802.523240371846,697.1447543160691
28.0,816.3318946436476,710.8897742363878
29.0,831.6677733510403,723.2348384240814
30.0,847.0036520584329,738.5707171314741
31.0,863.8667552014166,752.124833997344
32.0,879.2026339088093,764.3426294820717
33.0,894.9203187250996,776.9422310756972
34.0,909.8743913235945,790.7508853474989
35.0,925.2102700309872,804.5595396193006
36.0,942.0733731739707,818.3681938911022
37.0,958.9364763169544,832.1768481629039
38.0,974.2723550243471,845.9855024347056
39.0,991.1354581673306,861.3213811420983
40.0,1007.9985613103142,876.6572598494909
41.0,1024.8616644532979,890.4659141212926
42.0,1040.1975431606907,905.8017928286853
43.0,1060.1150951748562,920.1195219123506
44.0,1080.0326471890216,936.4735502434705
45.0,1098.4229747675963,954.8638778220452
46.0,1115.28607791058,971.7269809650288
47.0,1135.2036299247454,988.5900841080124
48.0,1156.648406374502,1006.9804116865871
49.0,1176.5659583886675,1023.8435148295706
50.0,1198.010734838424,1043.7610668437362
51.0,1211.8193891102258,1054.5152722443559
